tweet,type
This cartoon by Alok @caricatured  speak about the reality of deals in Indian Politics - Backdoor - or Unholy nexus - when all guys unite on controlling money minting Cricket Administration 😎,1
I am going to post one #BernieAtTheFarmersProtest every day until either the Farmers protest ends or @BernieSanders @SenSanders notices this and highlights the issue. Or I get blocked by Twitter. #Berniememes #BernieSandersMittens #BernieSanders #FarmersProtest 34 https://t.co/2NFSWxE6fA,1
"@sardesairajdeep @OfficialUrmila @RahulGandhi So bashing Islamic terrorism is communal but when someone talks about Hindu violence its crappy.  Bloody hypocrites. 😪 
#ModiLaoDeshBanao #ModiHainTohMumkinHain #LokSabhaElections2019 #CongressMuktBharat",1
 Oooh... that`s right by the zoo... think... in 2 months` time that could be our regular other meeting place,0
@vivekoberoi @narendramodi @OmungKumar @sureshoberoi @sandip_Ssingh @TSeries @anandpandit63 Absolutely very nice and fantastic Sir 😐❤ Your performance very nice🙋‍♂ Because I am see your movie trailer amazing and fantastic ❤🙋‍♂🙏 #LokSabhaElections2019  #AbkiBaarPhirModiSarkar 🙏,1
_louise Lucky me. There are mystery ingredients as well,0
డిల్లీ అహంకారంపై ..  ఆంధ్రుడి పోరాటం   అండగా ఉందాం  #narendramodi and #ncbn might have political or personal differences  But Modi should not undermine #AndhraPradesh people  interests and punish them by stopping project funding  #DharmaPorataDeeksha #APDemandsJustice #BeWithBabu,1
Dear @RahulGandhi #RahulGandhi 1 side u offer #pyaarkirajnithi on d other hand u wound an entire community repeatedly #SikhGenocide shows yours n yours party's ethics n committment towards aam jantha.. #NYAYforSikhs #Shame #Congress #HuaTohHua #SamInsultsSikhs,1
God Bless Ukraine. “The shameful criminalization of freedom of expression must stop.” ~ Marie Struthers  https://t.co/j1N1yZ8Sen  https://t.co/JDx42B6CgZ #UkraineRussiaWar #Russia #USA #Europe #NATO #China #India #Africa #quote #freedom #freespeech,0
"2/2 Moreover, @kharge has been a tremendous Social reformer, a Great Parliamentarian with a Strong belief in the Constitution of India and Indian secularism ideology with dignity politics 🇮🇳, a loyal warrior of the Congress party @INCIndia @RahulGandhi @priyankagandhi https://t.co/VyJTvNevUf",1
"@neerajdubey @CambridgeJBS @CambridgeMBA @RahulGandhi Be royal from behavior and loyal from thoughts and confession. Your single needle pinch can become the talk of the town,And Rahul Gandhi, Sashi Tharoor are great laureats of this era of Indian politics, no doubt that they'll prevent the English in dark in India @ShashiTharoor ..",1
COVID-19 Booster Dose News: आत्तापर्यंत देशात लसीचे 199 कोटींहून अधिक डोस देण्यात आले आहेत.  #corona #coronavirus #india #boosterdose #vaccines #coronavaccines #dainiikgomantak #dainiikgomantaknews  https://t.co/nOrPLL5llb,0
"When Swiss money will be brought back to India? @dhruv_rathee
@RahulGandhi @mkstalin @MamataOfficial @narendramodi #NarendraModi #falsetalksmodi #indianelections #MamataBanerjee #RahulGandhi #gobackmodi",1
 yeah I need a hug...cuz I am sick..,0
"@RahulGandhi One more Administrative Layer to the already bloated Bureaucracy? One more channel for bribes?

Tax Payers' money is precious. Slimming the bureaucracy should be the way forward.

#LokSabhaElections2019",1
"Exclusive:Hear it @narendramodi Farmers from Bihar are also attending Mahapanchayat. It’s the same Bihar, who had these laws implemented in 2006 &amp; currently majority of Farmers from there work as daily wage worker in Punjab/Haryana.   #FarmersProtest  #मुजफ्फरनगर_किसान_महापंचायत https://t.co/E2lXeuJaVX",1
ഇന്ത്യ-ചൈന ചർച്ച 17ന്; കമാൻഡർ തല ചർച്ച ചുഷൂലിൽ #India #China  https://t.co/cRaNgc5hGV,0
So my lucky jade nacklace/matching earrings ain`t so lucky. Lost an earring. Now the chain broke on pendant,0
Grabbing coffee from  then making mom breakfast,0
بھارت بدمعاش ریاست کا روپ اختیار کرچکا ہے، لیاقت بلوچ....  https://t.co/tccX09kv0M #India  #Liaquat_baloch  https://t.co/lQDq4rNIWv,0
 hey Padster...it`s a dirt track.  thx for the info! I got 3 miles in,0
"Omg it’s so sad, all that hidden data is coming out! #Indiaincrisis  #FarmersProtest  #NoFarmersNoFood twitter.com/mkvenu1/status…",1
 Or a Mexican wrestler. They year capes too. You probably haven`t the build for it though.,0
"@varungandhi80 is all set for #घर_वापसी..it will be another set back for #BJP.

#ज़ोर_का_झटका_बहुत_ज़ोर_से

@INCIndia @RahulGandhi @WithPGV @_SoniaGandhi",1
"@RahulGandhi What bones are you made of #RahulGandhi 
When he lives you never respected and when he died you are in tears.
His soul never forgive you what you did to him in his last moment of his life.",1
Amazing Thread 👇 #FarmersProtest #India #Modi #ModiWantsCredit #BJP #GodiMedia #BJPFakeNews twitter.com/PSainath_org/s…,1
"@JujuliaGrace She is Indian-Asians descent kicked out of Uganda by Idi Amin for Prejudice reasons, Conservatives like that coming to England are more anglo-saxon than the English/Brits, and those ending up in politics, remain to have a strong tendency toward prejudice &amp; racism.",1
Goood Afternooon,0
Let’s plant seeds of brotherhood and love! #FarmersAboveReligiousHate #FarmersProtest https://t.co/rRbkUyPy08,1
"It's Amazing the way @PMOIndia @narendramodi started a huge campaign to Strengthen voter awareness efforts across India.   He engaged Politicians across partylines, Bollywood, Tycoons, Spiritual Leaders &amp; Sportspersons  to ensure maximum people vote in the #LokSabhaElections2019",1
"#News:
#Congress has demanded more security for #RahulGandhi after a perceived ""sniper attack"" threat.

#BJP supporters:
Omg...😳. Rahul should be protected at all costs, as he is the ""⭐ campaigner for BJP""
#Elections2019 #2019LokSabhaElections 
#2019Elections",1
What is the definition of maryadit by the way? #indianpolitics,1
@INCIndia @RahulGandhi All these institution are working fine and independently under @narendramodi government. Don't try to make it again a congress poppet.Courts wants to send you to  jail in #NationalHerald and #Augustawestland scam. So you can't say institution under attack.#RahulGandhiInUAE #BJP,1
" I am just `okay-okay` .. like the rest of the sane population in the world, I hate mondays",0
"gotta buy the second season of  ghost whisperer now, but noo moneyy",0
#Chowkidars @narendramodi where is prime minister of India. Have you seen ? #LokSabhaElections2019,1
Just in | @RahulGandhi to contest #LokSabhaElections2019 from #Wayanad and Amethi. Wayanad is reckoned as one of the safest constituencies for the Congress in Kerala.,1
Indian leadership must put in motion all relevant pillars in near future for successful G20 summit: Book #China #DigitalEconomyTaskForce #G20 #G20summit #India #SaudiG20Presidency #thegatewayhouse  https://t.co/AbxgutJFOA  https://t.co/mUFQlNPNWN,0
"I've watched the #Dialouge4democracy Manipur. Rahul addressed very well. Especialy about Cultural imperialism, Special Status of NE &amp; Education. i loved it. Due to media publicity Modi looks getting an edge. I hope if Congress comes to power it'll be a good 4 India.
#RahulGandhi",1
Take that back on the cast...one dropped last night!,0
What a gesture!❤️ #BabarAzam #ViratKohli #Pakistan #india #CricketTwitter #ICC,0
"In a fight between duffer and demagogue,  I would rather prefer the duffer
(No names) 
@narendramodi 
@RahulGandhi 
#LokSabhaElections2019 
#BJP_भगाओ_देश_बचाओ 
#BJPLovesTerrorists",1
Genomineerd voor een #Oscar #womenpower @Mahesvari_  #India,0
"TwitterRT IndiaToday: #LokSabhaElections2019
In the video which has gone viral, Priyanka Gandhi Vadra is seen watching the children shout ""chowki…",1
@Naveen_Kr_Shahi @bainjal @gulf_news @RahulGandhi @SushriMayawati @INCIndia @INCIndia is a better option &amp; @RahulGandhi has a greater acceptance amongst the voters PAN India as against #BJP with any other leader in  lieu of #NarendraModi . People vote for the personal integrity of @narendramodi as we have seen track record of the other old faces of BJP.,1
 Hello there! Thankyou. I always seem to make a difference in  someone`s life everyday.,0
"  i`ll visit ny `til september, no diggnation for me",0
 good catch!  Thanks a bunch- have to put up a new widget.,0
"We take our responsibility seriously. We have a rule, a duty to our planet, we always attempt to leave a space where we serve from cleaner than when we found it. Continuing our outreach services, praying for the #FarmersProtest https://t.co/AGIudVDg11",1
@Hariindic @narendramodi We all waiting for  #BJP + #AIADMK +#PMK   For 2019 loksabha  BJP is all set to form government at the center with massive majority. NAMO AGAIN!! #Namoagain @narendramodi,1
Farmers are backbone of a country and you can’t stand straight if your backbone is broken. The life of a farmer is very tough as he works very hard day and night in all seasons for us. FULL SUPPORT TO KISAAN BHAI !  #FarmersProtest #FarmersMakelndia #kisanektazindabaad https://t.co/RYDfPxbIqv,1
cleaning and packing. Moving house is ****. It`s going to be a long weekend....,0
Rupees historic plunge to near 80 against dollar #Rupee #india,0
"See the picture below. Today it is Mumbai airport, tomorrow will be our land (khet) if these crony laws gets passed.   So, only appeal total repeal and MSP guarantee.  @DeepSandhu_K @ghasitaram53 @Tractor2twitr   #MSP_चाहिए_काले_कानून_नहीं #FarmersProtest https://t.co/L01H8bGJAc",1
