,id,symbol,name,price_usd,peg_deviation,peg_status,market_cap_usd,market_cap_rank,fdv_usd,volume_24h_usd,high_24h_usd,low_24h_usd,ath_price_usd,ath_change_percentage,ath_date,atl_price_usd,atl_change_percentage,atl_date,last_updated,currency,snapshot_date,data_source
0,tether,usdt,Tether,0.998502,0.0014979999999999993,stable,186617017721,3,192075638415,33562442189.0,0.998632,0.998356,1.32,-24.52753,2018-07-24T00:00:00.000Z,0.572521,74.41678,2015-03-02T00:00:00.000Z,2026-01-25T07:12:46.513Z,USD,2026-01-25,CoinGecko API
1,usd-coin,usdc,USDC,0.999697,0.0003030000000000532,stable,72491373200,6,72491739499,4950462686.0,0.999771,0.999504,1.17,-14.75632,2019-05-08T00:40:28.300Z,0.877647,13.9021,2023-03-11T08:02:13.981Z,2026-01-25T07:12:46.450Z,USD,2026-01-25,CoinGecko API
2,figure-heloc,figr_heloc,Figure Heloc,1.026,0.026000000000000023,depegged,15170431157,11,15170431157,250472.0,1.035,1.002,1.37,-25.08744,2025-10-28T06:05:38.345Z,0.155357,560.41913,2025-10-31T14:27:24.456Z,2026-01-25T02:49:27.677Z,USD,2026-01-25,CoinGecko API
3,usds,usds,USDS,0.999626,0.00037399999999998546,stable,9360376370,19,9360376370,2180672.0,0.999686,0.999351,1.057,-5.45472,2024-10-29T05:40:51.197Z,0.948265,5.41864,2024-10-03T13:19:28.826Z,2026-01-25T07:12:45.801Z,USD,2026-01-25,CoinGecko API
4,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.998403,0.0015969999999999596,stable,8970593821,20,8970593821,758334179.0,0.998977,0.997788,1.05,-4.90514,2024-08-05T14:21:42.527Z,0.942186,5.97261,2024-12-05T22:30:39.827Z,2026-01-25T07:12:46.449Z,USD,2026-01-25,CoinGecko API
5,ethena-usde,usde,Ethena USDe,0.998794,0.0012060000000000404,stable,6566568472,27,6566568472,81905873.0,0.99906,0.997976,1.034,-3.40113,2025-12-09T17:10:12.652Z,0.929486,7.4632,2024-10-04T07:57:15.809Z,2026-01-25T07:12:45.961Z,USD,2026-01-25,CoinGecko API
6,usd1-wlfi,usd1,USD1,0.999609,0.0003910000000000302,stable,4753897262,35,4753897262,1558843304.0,0.999921,0.999434,1.025,-2.44829,2025-05-12T12:36:39.412Z,0.989633,1.02084,2025-10-01T08:51:32.103Z,2026-01-25T07:12:46.482Z,USD,2026-01-25,CoinGecko API
7,usdt0,usdt0,USDT0,0.998408,0.0015920000000000378,stable,4548502208,38,4548502208,93574150.0,0.998907,0.997944,1.052,-5.09649,2025-01-23T22:34:53.341Z,0.975737,2.32478,2025-02-28T01:35:58.101Z,2026-01-25T07:12:46.482Z,USD,2026-01-25,CoinGecko API
8,dai,dai,Dai,0.999701,0.0002990000000000492,stable,4371067386,39,4371067386,32557566.0,1.0,0.998527,1.22,-17.97268,2020-03-13T03:02:50.373Z,0.88196,13.36752,2023-03-11T07:50:50.514Z,2026-01-25T07:12:47.197Z,USD,2026-01-25,CoinGecko API
9,paypal-usd,pyusd,PayPal USD,1.002,0.0020000000000000018,stable,3754590437,42,3754590437,141742741.0,1.002,0.997276,1.021,-2.07586,2023-10-23T22:44:57.056Z,0.959426,4.18189,2024-12-05T22:31:13.430Z,2026-01-25T07:12:45.926Z,USD,2026-01-25,CoinGecko API
10,falcon-finance,usdf,Falcon USD,0.996123,0.0038770000000000193,stable,2169766433,54,2169766433,389402.0,0.996524,0.995397,1.075,-7.30408,2025-05-08T21:25:42.071Z,0.943422,5.58304,2025-07-08T10:16:34.749Z,2026-01-25T07:12:46.565Z,USD,2026-01-25,CoinGecko API
11,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,0.0,stable,1684656108,63,1684656108,0.0,1.0,1.0,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,2026-01-25T07:10:10.333Z,USD,2026-01-25,CoinGecko API
12,global-dollar,usdg,Global Dollar,0.999719,0.0002809999999999757,stable,1608241486,66,1608241486,10120501.0,0.999869,0.999483,1.65,-39.57926,2025-01-30T00:11:05.728Z,0.907561,10.14912,2024-11-11T23:55:50.604Z,2026-01-25T07:12:46.002Z,USD,2026-01-25,CoinGecko API
13,ripple-usd,rlusd,Ripple USD,0.999856,0.000144000000000033,stable,1415201393,76,1415201393,24849592.0,1.0,0.999443,1.073,-6.80504,2024-12-26T10:45:52.337Z,0.962292,3.89907,2024-12-18T04:40:40.880Z,2026-01-25T07:12:46.008Z,USD,2026-01-25,CoinGecko API
14,bfusd,bfusd,BFUSD,0.997792,0.0022079999999999878,stable,1317031308,79,1317031308,10091212.0,0.997856,0.997035,1.007,-0.91378,2025-10-10T21:40:40.468Z,0.997035,0.06907,2026-01-24T07:41:41.188Z,2026-01-25T07:12:45.998Z,USD,2026-01-25,CoinGecko API
15,binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),0.99969,0.00031000000000003247,stable,1288538035,82,1288538035,88884789.0,0.999774,0.999275,1.031,-3.04951,2024-03-05T20:15:29.285Z,0.942892,6.0162,2024-12-05T22:30:25.440Z,2026-01-25T07:12:46.857Z,USD,2026-01-25,CoinGecko API
16,usdd,usdd,USDD,0.998368,0.0016319999999999668,stable,1089333377,94,1089392308,1346120.0,0.999733,0.998327,1.052,-5.07611,2023-10-23T22:45:25.398Z,0.928067,7.58141,2022-06-19T16:15:11.558Z,2026-01-25T07:12:46.575Z,USD,2026-01-25,CoinGecko API
17,bridged-usdc-polygon-pos-bridge,usdc.e,Polygon Bridged USDC (Polygon PoS),0.999667,0.0003330000000000277,stable,859682387,106,859682387,30109458.0,0.999716,0.999497,1.028,-2.73512,2024-04-14T06:50:14.967Z,0.975633,2.46681,2024-02-28T17:40:28.349Z,2026-01-25T07:12:46.601Z,USD,2026-01-25,CoinGecko API
18,usdtb,usdtb,USDtb,0.999173,0.0008270000000000222,stable,851693260,107,851693260,1666104.0,1.0,0.995643,1.057,-5.49376,2025-09-20T13:20:33.315Z,0.900502,10.93213,2025-07-17T08:05:52.672Z,2026-01-25T07:12:46.240Z,USD,2026-01-25,CoinGecko API
19,wrappedm-by-m0,wm,WrappedM by M0,0.999225,0.0007749999999999702,stable,762771831,117,762771831,3167139.0,1.001,0.997176,15.4,-93.50914,2025-09-04T16:49:45.002Z,0.969044,3.13049,2025-09-20T12:44:48.159Z,2026-01-25T07:12:46.363Z,USD,2026-01-25,CoinGecko API
20,janus-henderson-anemoy-aaa-clo-fund,jaaa,Janus Henderson Anemoy AAA CLO Fund,1.023,0.02299999999999991,depegged,724108539,119,724108539,0.0,1.023,1.023,1.024,-0.01368,2026-01-21T15:00:09.873Z,1.009,1.37426,2025-12-06T14:10:05.491Z,2026-01-25T07:10:10.030Z,USD,2026-01-25,CoinGecko API
21,usdai,usdai,USDai,0.999457,0.0005429999999999602,stable,635877046,128,635877046,3175333.0,0.999584,0.999115,1.19,-15.85789,2025-09-04T16:12:39.608Z,0.769779,29.8453,2025-09-26T20:45:27.490Z,2026-01-25T07:12:46.438Z,USD,2026-01-25,CoinGecko API
22,polygon-pos-bridged-dai-polygon-pos,dai,Polygon PoS Bridged DAI (Polygon POS),0.999768,0.00023200000000000998,stable,634106774,129,634106774,9529733.0,0.999985,0.999405,1.025,-2.46851,2024-12-05T22:35:45.220Z,0.957024,4.45488,2024-12-05T22:30:49.634Z,2026-01-25T07:12:46.303Z,USD,2026-01-25,CoinGecko API
23,usual-usd,usd0,Usual USD,0.997299,0.0027009999999999534,stable,582245700,140,582245700,2073318.0,0.998514,0.996067,1.33,-24.76335,2024-07-12T08:28:59.311Z,0.962885,3.5858,2025-04-10T08:30:51.088Z,2026-01-25T07:12:46.352Z,USD,2026-01-25,CoinGecko API
24,first-digital-usd,fdusd,First Digital USD,0.997006,0.002994000000000052,stable,503033237,152,503033237,893127135.0,0.997604,0.996819,1.15,-13.39592,2025-02-03T02:30:49.959Z,0.940377,6.03203,2024-12-05T22:30:51.394Z,2026-01-25T07:12:47.397Z,USD,2026-01-25,CoinGecko API
25,gho,gho,GHO,0.999218,0.0007819999999999494,stable,494683059,153,494683059,5792424.0,0.99966,0.998767,1.03,-2.97581,2024-02-28T17:15:58.387Z,0.917065,8.95583,2023-10-24T04:41:04.568Z,2026-01-25T07:12:46.562Z,USD,2026-01-25,CoinGecko API
26,true-usd,tusd,TrueUSD,0.998248,0.0017519999999999758,stable,493640517,154,493640517,3512615.0,0.998553,0.997972,1.62,-38.31883,2018-08-26T20:41:09.375Z,0.88355,12.98939,2020-03-12T10:47:51.380Z,2026-01-25T07:12:46.510Z,USD,2026-01-25,CoinGecko API
27,cap-usd,cusd,Cap USD,0.999683,0.0003170000000000117,stable,431286054,164,431286054,29394.0,1.024,0.998016,1.17,-14.56747,2025-10-10T21:42:31.469Z,0.947752,5.49273,2025-10-02T15:05:38.504Z,2026-01-25T07:12:47.013Z,USD,2026-01-25,CoinGecko API
28,usdb,usdb,USDB,0.996826,0.00317400000000001,stable,405090781,172,405090781,26031.0,1.005,0.990623,1.088,-8.30518,2025-03-02T16:57:39.891Z,0.831432,19.9972,2025-10-10T21:28:37.488Z,2026-01-25T07:12:46.553Z,USD,2026-01-25,CoinGecko API
29,resolv-usr,usr,Resolv USR,0.999836,0.000164000000000053,stable,377257117,186,377257117,352182.0,1.001,0.997156,1.022,-2.31074,2025-01-30T14:52:41.281Z,0.959194,4.07311,2025-03-05T06:15:52.738Z,2026-01-25T07:12:46.656Z,USD,2026-01-25,CoinGecko API
30,crvusd,crvusd,crvUSD,0.999589,0.0004110000000000502,stable,351400805,201,351400805,28025540.0,1.002,0.996943,1.11,-9.64234,2024-06-13T03:27:06.616Z,0.949016,5.3212,2023-08-08T06:24:06.210Z,2026-01-25T07:12:47.140Z,USD,2026-01-25,CoinGecko API
31,usx,usx,USX,0.999265,0.0007350000000000412,stable,299522374,215,299522374,3630138.0,1.004,0.998811,1.037,-3.61584,2025-11-16T07:13:17.277Z,0.828472,20.62507,2025-12-26T04:30:55.143Z,2026-01-25T07:12:47.479Z,USD,2026-01-25,CoinGecko API
32,binance-peg-busd,busd,Binance-Peg BUSD,0.997152,0.0028479999999999617,stable,289373080,221,289373080,546963.0,1.001,0.993325,1.15,-12.95015,2025-09-21T07:13:14.819Z,0.896883,11.3155,2025-10-10T21:20:16.934Z,2026-01-25T07:12:47.571Z,USD,2026-01-25,CoinGecko API
33,frax,frax,Legacy Frax Dollar,0.993255,0.006745000000000001,depegged,274181373,226,274181373,1165003.0,0.99528,0.990568,1.14,-13.01995,2021-02-07T12:55:35.766Z,0.874536,13.42754,2023-03-11T07:50:39.316Z,2026-01-25T07:12:47.154Z,USD,2026-01-25,CoinGecko API
34,raydium,ray,Raydium,1.004,0.0040000000000000036,stable,269931553,227,557692600,14191130.0,1.023,0.995301,16.83,-94.02546,2021-09-12T20:20:23.998Z,0.134391,648.32798,2022-12-29T22:15:53.927Z,2026-01-25T07:12:47.182Z,USD,2026-01-25,CoinGecko API
